DSP,JCAD,RhoA,RhoC,TJP1,$RhoC_amp,$RhoC_antagonistic,perb,exp_name,delta,phenotype
0.49500299999999997,0.5020009999999999,0.5208749999999999,0.749923,0.494801,5.0,1.0,WT,Escape_Threshold_RhoC,0.22904800000000014,Normal
0.49840200000000007,0.5020020000000001,0.5667089999999999,0.645463,0.498802,5.0,2.0,WT,Escape_Threshold_RhoC,0.0787540000000001,Normal
0.4935999999999999,0.512601,0.607158,0.565075,0.500201,5.0,3.0,WT,Escape_Threshold_RhoC,-0.04208299999999998,Normal
0.5052,0.49719899999999995,0.620981,0.525536,0.5145989999999999,5.0,4.0,WT,Escape_Threshold_RhoC,-0.095445,Normal
0.503999,0.49519900000000006,0.650984,0.4789030000000001,0.49419900000000005,5.0,5.0,WT,Escape_Threshold_RhoC,-0.17208099999999993,Normal
0.4974,0.508799,0.6651520000000001,0.45155499999999993,0.503201,5.0,6.0,WT,Escape_Threshold_RhoC,-0.21359700000000015,Normal
0.502999,0.5122,0.6843469999999999,0.426493,0.5063989999999999,5.0,7.0,WT,Escape_Threshold_RhoC,-0.2578539999999999,Failed
0.509401,0.508201,0.7068509999999999,0.38991600000000004,0.500403,5.0,8.0,WT,Escape_Threshold_RhoC,-0.31693499999999986,Failed
0.499201,0.4966,0.6994389999999999,0.377641,0.49779999999999996,5.0,9.0,WT,Escape_Threshold_RhoC,-0.3217979999999999,Failed
0.495202,0.496802,0.7020029999999999,0.36354600000000004,0.495601,5.0,10.0,WT,Escape_Threshold_RhoC,-0.3384569999999999,Failed
0.5028,0.508401,0.725602,0.33296499999999996,0.507799,5.0,11.0,WT,Escape_Threshold_RhoC,-0.392637,Failed
0.49560000000000004,0.49920100000000006,0.729082,0.325368,0.4899990000000001,5.0,12.0,WT,Escape_Threshold_RhoC,-0.403714,Failed
0.498199,0.4892,0.751479,0.30487400000000003,0.501999,5.0,13.0,WT,Escape_Threshold_RhoC,-0.446605,Failed
0.5036,0.511001,0.747755,0.29830500000000004,0.503599,5.0,14.0,WT,Escape_Threshold_RhoC,-0.4494499999999999,Failed
0.5032,0.49019999999999997,0.5257010000000001,0.7493810000000001,0.4924,10.0,1.0,WT,Escape_Threshold_RhoC,0.22368,Normal
0.5071999999999999,0.502801,0.567386,0.660878,0.497,10.0,2.0,WT,Escape_Threshold_RhoC,0.09349200000000002,Normal
0.509599,0.503199,0.6069130000000001,0.5892080000000001,0.49539900000000003,10.0,3.0,WT,Escape_Threshold_RhoC,-0.017705000000000082,Normal
0.48419999999999996,0.5196000000000001,0.6104780000000001,0.5509040000000002,0.503,10.0,4.0,WT,Escape_Threshold_RhoC,-0.059573999999999905,Normal
0.5038,0.5095999999999999,0.64221,0.521693,0.5022,10.0,5.0,WT,Escape_Threshold_RhoC,-0.12051699999999999,Normal
0.5007990000000001,0.5026020000000001,0.653483,0.488684,0.510202,10.0,6.0,WT,Escape_Threshold_RhoC,-0.16479900000000003,Normal
0.489399,0.499401,0.669133,0.45488199999999995,0.499601,10.0,7.0,WT,Escape_Threshold_RhoC,-0.21425100000000002,Normal
0.495799,0.5012,0.6923,0.426678,0.5002000000000001,10.0,8.0,WT,Escape_Threshold_RhoC,-0.265622,Failed
0.509001,0.508601,0.6902219999999999,0.41964199999999996,0.49080099999999993,10.0,9.0,WT,Escape_Threshold_RhoC,-0.27057999999999993,Failed
0.503998,0.506999,0.696118,0.40137,0.49019899999999994,10.0,10.0,WT,Escape_Threshold_RhoC,-0.294748,Failed
0.49939900000000004,0.49099999999999994,0.7018599999999999,0.38545599999999997,0.508398,10.0,11.0,WT,Escape_Threshold_RhoC,-0.31640399999999996,Failed
0.500601,0.486001,0.702254,0.377107,0.506401,10.0,12.0,WT,Escape_Threshold_RhoC,-0.325147,Failed
0.501799,0.510401,0.7292,0.348691,0.496002,10.0,13.0,WT,Escape_Threshold_RhoC,-0.380509,Failed
0.4989990000000001,0.4976,0.734306,0.33757600000000004,0.4914,10.0,14.0,WT,Escape_Threshold_RhoC,-0.39672999999999997,Failed
0.497001,0.49999999999999994,0.5263730000000001,0.7555769999999999,0.49839900000000004,15.0,1.0,WT,Escape_Threshold_RhoC,0.22920399999999985,Normal
0.512001,0.49020100000000005,0.567342,0.6656979999999999,0.5082009999999999,15.0,2.0,WT,Escape_Threshold_RhoC,0.09835599999999989,Normal
0.493,0.505,0.5898599999999999,0.607154,0.49900100000000003,15.0,3.0,WT,Escape_Threshold_RhoC,0.01729400000000003,Normal
0.5062,0.492401,0.609054,0.5682619999999999,0.5042,15.0,4.0,WT,Escape_Threshold_RhoC,-0.04079200000000005,Normal
0.508199,0.5064,0.650918,0.51101,0.4905999999999999,15.0,5.0,WT,Escape_Threshold_RhoC,-0.13990800000000003,Normal
0.490601,0.496199,0.6447309999999999,0.496656,0.49560000000000004,15.0,6.0,WT,Escape_Threshold_RhoC,-0.14807499999999996,Normal
0.494201,0.496201,0.669224,0.47101400000000004,0.49480100000000005,15.0,7.0,WT,Escape_Threshold_RhoC,-0.19821,Normal
0.5018,0.49060000000000004,0.6829820000000001,0.43615600000000004,0.48100000000000004,15.0,8.0,WT,Escape_Threshold_RhoC,-0.24682600000000005,Normal
0.5064,0.501401,0.678432,0.4271670000000001,0.496602,15.0,9.0,WT,Escape_Threshold_RhoC,-0.25126499999999996,Failed
0.498201,0.494801,0.6926,0.408784,0.49520000000000003,15.0,10.0,WT,Escape_Threshold_RhoC,-0.283816,Failed
0.489398,0.49299799999999994,0.7038800000000001,0.39686200000000005,0.4943989999999999,15.0,11.0,WT,Escape_Threshold_RhoC,-0.307018,Failed
0.505202,0.496203,0.709395,0.3914619999999999,0.502402,15.0,12.0,WT,Escape_Threshold_RhoC,-0.3179330000000001,Failed
0.48479999999999995,0.5008,0.711805,0.378259,0.49660099999999996,15.0,13.0,WT,Escape_Threshold_RhoC,-0.333546,Failed
0.506,0.49819899999999995,0.712316,0.3739159999999999,0.49959899999999996,15.0,14.0,WT,Escape_Threshold_RhoC,-0.33840000000000003,Failed
0.5006,0.490001,0.516687,0.7586189999999999,0.502401,20.0,1.0,WT,Escape_Threshold_RhoC,0.24193199999999992,Normal
0.508001,0.501402,0.568925,0.678421,0.487201,20.0,2.0,WT,Escape_Threshold_RhoC,0.10949600000000004,Normal
0.5056,0.49940000000000007,0.594392,0.6093510000000001,0.5038,20.0,3.0,WT,Escape_Threshold_RhoC,0.014959000000000056,Normal
0.499001,0.4976,0.6157090000000001,0.573977,0.514601,20.0,4.0,WT,Escape_Threshold_RhoC,-0.0417320000000001,Normal
0.501399,0.5006010000000001,0.6291260000000001,0.532007,0.508199,20.0,5.0,WT,Escape_Threshold_RhoC,-0.09711900000000007,Normal
0.4997999999999999,0.502,0.645603,0.5012460000000001,0.4866,20.0,6.0,WT,Escape_Threshold_RhoC,-0.14435699999999996,Normal
0.4872000000000001,0.5056,0.652705,0.48402600000000007,0.4998,20.0,7.0,WT,Escape_Threshold_RhoC,-0.1686789999999999,Normal
0.516201,0.494402,0.6755699999999999,0.45912100000000006,0.5058,20.0,8.0,WT,Escape_Threshold_RhoC,-0.21644899999999984,Normal
0.498,0.488801,0.681609,0.445424,0.5038,20.0,9.0,WT,Escape_Threshold_RhoC,-0.23618500000000003,Normal
0.507201,0.49960099999999996,0.6855770000000001,0.42735599999999996,0.48919999999999997,20.0,10.0,WT,Escape_Threshold_RhoC,-0.25822100000000014,Failed
0.516801,0.490199,0.6948089999999999,0.403548,0.496001,20.0,11.0,WT,Escape_Threshold_RhoC,-0.2912609999999999,Failed
0.493798,0.5069980000000001,0.689652,0.41251699999999997,0.506599,20.0,12.0,WT,Escape_Threshold_RhoC,-0.2771350000000001,Failed
0.504198,0.5021990000000001,0.712231,0.37713500000000005,0.48639899999999997,20.0,13.0,WT,Escape_Threshold_RhoC,-0.3350959999999999,Failed
0.504001,0.500201,0.713396,0.37484,0.503799,20.0,14.0,WT,Escape_Threshold_RhoC,-0.338556,Failed
0.502,0.496801,0.520633,0.755394,0.5046,25.0,1.0,WT,Escape_Threshold_RhoC,0.234761,Normal
0.501399,0.4982,0.561634,0.672744,0.5039980000000001,25.0,2.0,WT,Escape_Threshold_RhoC,0.11111000000000004,Normal
0.5138020000000001,0.4934009999999999,0.5937670000000002,0.613076,0.49880199999999997,25.0,3.0,WT,Escape_Threshold_RhoC,0.0193089999999998,Normal
0.5012000000000001,0.5095970000000001,0.6071890000000001,0.578788,0.49859999999999993,25.0,4.0,WT,Escape_Threshold_RhoC,-0.02840100000000012,Normal
0.4984019999999999,0.4934019999999999,0.626701,0.542727,0.4922,25.0,5.0,WT,Escape_Threshold_RhoC,-0.083974,Normal
0.495002,0.508802,0.6356590000000001,0.516673,0.493402,25.0,6.0,WT,Escape_Threshold_RhoC,-0.11898600000000004,Normal
0.500202,0.49939999999999996,0.6629390000000001,0.47972299999999996,0.504,25.0,7.0,WT,Escape_Threshold_RhoC,-0.1832160000000001,Normal
0.506801,0.49720099999999995,0.669934,0.46718599999999993,0.505001,25.0,8.0,WT,Escape_Threshold_RhoC,-0.2027480000000001,Normal
0.5059999999999999,0.493799,0.687125,0.441823,0.4962000000000001,25.0,9.0,WT,Escape_Threshold_RhoC,-0.24530199999999996,Normal
0.49200200000000005,0.49800200000000006,0.6889619999999999,0.43305000000000005,0.507201,25.0,10.0,WT,Escape_Threshold_RhoC,-0.2559119999999998,Failed
0.511201,0.5036,0.6961069999999999,0.41356100000000007,0.493601,25.0,11.0,WT,Escape_Threshold_RhoC,-0.28254599999999985,Failed
0.5034010000000001,0.504201,0.708587,0.40485699999999997,0.49840200000000007,25.0,12.0,WT,Escape_Threshold_RhoC,-0.30373,Failed
0.48300100000000007,0.5127999999999999,0.697098,0.40676399999999996,0.505601,25.0,13.0,WT,Escape_Threshold_RhoC,-0.29033400000000004,Failed
0.5025999999999999,0.49420000000000003,0.7238060000000001,0.374519,0.495199,25.0,14.0,WT,Escape_Threshold_RhoC,-0.34928700000000007,Failed
0.500599,0.49779899999999994,0.514709,0.7678470000000001,0.5072,30.0,1.0,WT,Escape_Threshold_RhoC,0.2531380000000001,Hyper
0.489002,0.501601,0.5541689999999999,0.6772380000000001,0.510198,30.0,2.0,WT,Escape_Threshold_RhoC,0.1230690000000002,Normal
0.5008009999999999,0.505799,0.586867,0.623944,0.49520100000000006,30.0,3.0,WT,Escape_Threshold_RhoC,0.03707700000000003,Normal
0.486199,0.49860000000000004,0.601559,0.5700080000000001,0.501201,30.0,4.0,WT,Escape_Threshold_RhoC,-0.031550999999999885,Normal
0.49740100000000004,0.502202,0.6387090000000001,0.5341990000000001,0.49600200000000005,30.0,5.0,WT,Escape_Threshold_RhoC,-0.10450999999999999,Normal
0.5082009999999999,0.49620000000000003,0.649686,0.513632,0.503402,30.0,6.0,WT,Escape_Threshold_RhoC,-0.136054,Normal
0.5018,0.5194,0.652893,0.495485,0.49460000000000004,30.0,7.0,WT,Escape_Threshold_RhoC,-0.15740799999999994,Normal
0.505799,0.502201,0.675367,0.464747,0.48819999999999997,30.0,8.0,WT,Escape_Threshold_RhoC,-0.21062000000000003,Normal
0.5134019999999999,0.5102,0.6873989999999999,0.45204099999999997,0.502802,30.0,9.0,WT,Escape_Threshold_RhoC,-0.2353579999999999,Normal
0.5022,0.5002000000000001,0.68623,0.44108,0.5018,30.0,10.0,WT,Escape_Threshold_RhoC,-0.24514999999999998,Normal
0.5006029999999999,0.501401,0.6958850000000001,0.42785699999999993,0.496601,30.0,11.0,WT,Escape_Threshold_RhoC,-0.26802800000000016,Failed
0.499999,0.5062,0.689951,0.41763100000000003,0.49519799999999997,30.0,12.0,WT,Escape_Threshold_RhoC,-0.27231999999999995,Failed
0.49940100000000004,0.502201,0.7056069999999999,0.40159199999999995,0.494001,30.0,13.0,WT,Escape_Threshold_RhoC,-0.3040149999999999,Failed
0.49659899999999996,0.5042,0.707522,0.392213,0.4968,30.0,14.0,WT,Escape_Threshold_RhoC,-0.315309,Failed
0.489599,0.504599,0.5158909999999999,0.766674,0.493799,35.0,1.0,WT,Escape_Threshold_RhoC,0.2507830000000001,Hyper
0.502,0.4921979999999999,0.565957,0.671565,0.492,35.0,2.0,WT,Escape_Threshold_RhoC,0.10560799999999992,Normal
0.519798,0.509199,0.5974029999999999,0.6149519999999999,0.5053989999999999,35.0,3.0,WT,Escape_Threshold_RhoC,0.017549000000000037,Normal
0.4922,0.5063989999999999,0.6046259999999999,0.5907399999999999,0.506,35.0,4.0,WT,Escape_Threshold_RhoC,-0.013885999999999954,Normal
0.5058010000000001,0.499601,0.630409,0.5375249999999999,0.4988,35.0,5.0,WT,Escape_Threshold_RhoC,-0.09288400000000008,Normal
0.511798,0.500599,0.666505,0.5072409999999999,0.49560000000000004,35.0,6.0,WT,Escape_Threshold_RhoC,-0.15926400000000007,Normal
0.502399,0.501802,0.6591889999999998,0.49504300000000007,0.5057980000000001,35.0,7.0,WT,Escape_Threshold_RhoC,-0.16414599999999974,Normal
0.5095989999999999,0.501399,0.653696,0.485896,0.5069980000000001,35.0,8.0,WT,Escape_Threshold_RhoC,-0.16780000000000006,Normal
0.4996,0.49940200000000007,0.675069,0.45089000000000007,0.48160000000000003,35.0,9.0,WT,Escape_Threshold_RhoC,-0.22417899999999996,Normal
0.4987999999999999,0.5054,0.6840170000000001,0.44450699999999993,0.500601,35.0,10.0,WT,Escape_Threshold_RhoC,-0.23951000000000017,Normal
0.49720000000000003,0.505201,0.689016,0.42931699999999995,0.49899799999999994,35.0,11.0,WT,Escape_Threshold_RhoC,-0.259699,Failed
0.49759999999999993,0.4973989999999999,0.7064079999999999,0.40642100000000003,0.498399,35.0,12.0,WT,Escape_Threshold_RhoC,-0.2999869999999999,Failed
0.504001,0.4916,0.6968679999999999,0.41096099999999997,0.49839900000000004,35.0,13.0,WT,Escape_Threshold_RhoC,-0.28590699999999997,Failed
0.5003980000000001,0.497199,0.713173,0.38843099999999997,0.495599,35.0,14.0,WT,Escape_Threshold_RhoC,-0.324742,Failed
0.508201,0.4978,0.521976,0.7654639999999999,0.5055999999999999,40.0,1.0,WT,Escape_Threshold_RhoC,0.24348799999999993,Normal
0.5018,0.506601,0.558393,0.676127,0.4988,40.0,2.0,WT,Escape_Threshold_RhoC,0.117734,Normal
0.502402,0.507201,0.581528,0.630213,0.507401,40.0,3.0,WT,Escape_Threshold_RhoC,0.04868499999999998,Normal
0.49100000000000005,0.49880100000000005,0.606351,0.576374,0.49080099999999993,40.0,4.0,WT,Escape_Threshold_RhoC,-0.02997699999999992,Normal
0.4998,0.492401,0.63301,0.546839,0.49660000000000004,40.0,5.0,WT,Escape_Threshold_RhoC,-0.086171,Normal
0.5136010000000001,0.5036,0.647028,0.529824,0.4962010000000001,40.0,6.0,WT,Escape_Threshold_RhoC,-0.11720400000000009,Normal
0.5016,0.5037990000000001,0.665543,0.48420199999999997,0.48340000000000005,40.0,7.0,WT,Escape_Threshold_RhoC,-0.18134100000000003,Normal
0.500601,0.503399,0.6686300000000002,0.46842000000000006,0.486399,40.0,8.0,WT,Escape_Threshold_RhoC,-0.2002100000000001,Normal
0.5162019999999999,0.510399,0.681865,0.46318,0.5024,40.0,9.0,WT,Escape_Threshold_RhoC,-0.21868500000000007,Normal
0.5102,0.49279999999999996,0.693609,0.439095,0.502599,40.0,10.0,WT,Escape_Threshold_RhoC,-0.254514,Failed
0.5026,0.4966000000000001,0.6849689999999999,0.440173,0.49480100000000005,40.0,11.0,WT,Escape_Threshold_RhoC,-0.24479599999999996,Normal
0.5088030000000001,0.510399,0.705759,0.420505,0.499802,40.0,12.0,WT,Escape_Threshold_RhoC,-0.285254,Failed
0.501202,0.495203,0.70445,0.41483299999999995,0.501203,40.0,13.0,WT,Escape_Threshold_RhoC,-0.28961700000000007,Failed
0.503201,0.493201,0.704926,0.40689600000000004,0.509402,40.0,14.0,WT,Escape_Threshold_RhoC,-0.29803,Failed
0.5005999999999999,0.505999,0.517612,0.773075,0.5079980000000001,45.0,1.0,WT,Escape_Threshold_RhoC,0.255463,Hyper
0.490599,0.5221990000000001,0.558268,0.6775,0.487599,45.0,2.0,WT,Escape_Threshold_RhoC,0.119232,Normal
0.4827989999999999,0.513199,0.572536,0.6352460000000001,0.503799,45.0,3.0,WT,Escape_Threshold_RhoC,0.06271000000000004,Normal
0.49539999999999995,0.4928,0.607529,0.586724,0.5142,45.0,4.0,WT,Escape_Threshold_RhoC,-0.020804999999999962,Normal
0.504401,0.5034,0.6326880000000001,0.549347,0.5062,45.0,5.0,WT,Escape_Threshold_RhoC,-0.08334100000000011,Normal
0.4973989999999999,0.49739900000000004,0.6424699999999999,0.52152,0.5045999999999999,45.0,6.0,WT,Escape_Threshold_RhoC,-0.12094999999999989,Normal
0.5112,0.517199,0.663431,0.493334,0.494399,45.0,7.0,WT,Escape_Threshold_RhoC,-0.170097,Normal
0.5084,0.496801,0.676906,0.46829299999999996,0.48380100000000004,45.0,8.0,WT,Escape_Threshold_RhoC,-0.20861300000000005,Normal
0.49760099999999996,0.48760000000000003,0.68755,0.451136,0.5046,45.0,9.0,WT,Escape_Threshold_RhoC,-0.236414,Normal
0.5034000000000001,0.508201,0.678219,0.4539600000000001,0.5128010000000001,45.0,10.0,WT,Escape_Threshold_RhoC,-0.22425899999999993,Normal
0.495602,0.5034010000000001,0.6763709999999999,0.446667,0.5056010000000001,45.0,11.0,WT,Escape_Threshold_RhoC,-0.22970399999999996,Normal
0.505998,0.490599,0.696029,0.42870299999999995,0.494799,45.0,12.0,WT,Escape_Threshold_RhoC,-0.26732600000000006,Failed
0.510002,0.49860100000000007,0.6959440000000001,0.423269,0.49780100000000005,45.0,13.0,WT,Escape_Threshold_RhoC,-0.2726750000000001,Failed
0.5012,0.509999,0.707013,0.40857,0.49620000000000003,45.0,14.0,WT,Escape_Threshold_RhoC,-0.298443,Failed
0.502399,0.494399,0.518535,0.7701870000000001,0.5054,50.0,1.0,WT,Escape_Threshold_RhoC,0.2516520000000001,Hyper
0.4998,0.49840200000000007,0.5577880000000001,0.685123,0.500201,50.0,2.0,WT,Escape_Threshold_RhoC,0.12733499999999998,Normal
0.503601,0.503801,0.588352,0.610323,0.49700000000000005,50.0,3.0,WT,Escape_Threshold_RhoC,0.021970999999999963,Normal
0.49499999999999994,0.510598,0.603664,0.5783639999999999,0.48539699999999997,50.0,4.0,WT,Escape_Threshold_RhoC,-0.0253000000000001,Normal
0.5018,0.504601,0.635465,0.540287,0.491201,50.0,5.0,WT,Escape_Threshold_RhoC,-0.09517799999999998,Normal
0.5094010000000001,0.493601,0.6536580000000001,0.5075000000000001,0.500601,50.0,6.0,WT,Escape_Threshold_RhoC,-0.146158,Normal
0.49940099999999993,0.505,0.6444980000000001,0.49829199999999996,0.49600099999999997,50.0,7.0,WT,Escape_Threshold_RhoC,-0.14620600000000017,Normal
0.4974,0.506999,0.6654410000000001,0.47965099999999994,0.492399,50.0,8.0,WT,Escape_Threshold_RhoC,-0.18579000000000012,Normal
0.501599,0.5102,0.6757150000000001,0.45957500000000007,0.497,50.0,9.0,WT,Escape_Threshold_RhoC,-0.21614,Normal
0.507398,0.49139999999999995,0.688447,0.438365,0.488399,50.0,10.0,WT,Escape_Threshold_RhoC,-0.250082,Failed
0.494198,0.504799,0.695336,0.435451,0.5022000000000001,50.0,11.0,WT,Escape_Threshold_RhoC,-0.259885,Failed
0.490601,0.4974009999999999,0.682935,0.436772,0.5124,50.0,12.0,WT,Escape_Threshold_RhoC,-0.24616299999999997,Normal
0.4898,0.4986,0.693135,0.41515599999999997,0.499799,50.0,13.0,WT,Escape_Threshold_RhoC,-0.277979,Failed
0.494602,0.509001,0.693458,0.411983,0.496001,50.0,14.0,WT,Escape_Threshold_RhoC,-0.28147500000000003,Failed
0.4978000000000001,0.507599,0.5205799999999998,0.7605949999999999,0.497,55.0,1.0,WT,Escape_Threshold_RhoC,0.2400150000000001,Normal
0.48480100000000004,0.4868,0.5634750000000001,0.6681,0.4966000000000001,55.0,2.0,WT,Escape_Threshold_RhoC,0.10462499999999997,Normal
0.498197,0.496399,0.590808,0.6144520000000001,0.491999,55.0,3.0,WT,Escape_Threshold_RhoC,0.02364400000000011,Normal
0.504,0.49959899999999996,0.6181949999999999,0.574357,0.5038009999999999,55.0,4.0,WT,Escape_Threshold_RhoC,-0.04383799999999993,Normal
0.49959899999999996,0.5061990000000001,0.6166830000000001,0.56044,0.506398,55.0,5.0,WT,Escape_Threshold_RhoC,-0.05624300000000004,Normal
