Time	TH	ErrorTH	H	HD=0	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba
0.0000	1.2448	0.0050	2.0913	1.0000	JCAD -- RhoC	0.002439	0.000390	JCAD -- RhoA	0.002906	0.000432	DSP	0.000693	0.000196	DSP -- RhoC	0.001170	0.000283	DSP -- RhoC -- RhoA	0.001132	0.000254	DSP -- RhoA	0.001232	0.000275	DSP -- TJP1 -- JCAD -- RhoC -- RhoA	0.000000	0.000000	DSP -- JCAD -- RhoC	0.207707	0.003738	DSP -- TJP1 -- JCAD -- RhoC	0.000000	0.000000	JCAD	0.002151	0.000370	JCAD -- RhoC -- RhoA	0.002316	0.000357	DSP -- JCAD	0.192112	0.003671	DSP -- JCAD -- RhoC -- RhoA	0.276494	0.004132	DSP -- TJP1 -- JCAD	0.000000	0.000000	DSP -- JCAD -- RhoA	0.309649	0.004333	DSP -- TJP1 -- JCAD -- RhoA	0.000000	0.000000
0.1000	1.4032	0.0047	2.1210	1.0000	<nil>	0.000057	0.000057	RhoC	0.000006	0.000006	RhoA	0.000126	0.000089	DSP -- RhoC -- RhoA	0.004490	0.000612	DSP	0.001631	0.000386	JCAD -- RhoC	0.006254	0.000746	JCAD -- RhoA	0.010854	0.000944	DSP -- RhoC	0.002478	0.000452	DSP -- JCAD	0.112289	0.002952	JCAD -- RhoC -- RhoA	0.006485	0.000719	DSP -- RhoA	0.004414	0.000604	DSP -- JCAD -- RhoC	0.146227	0.003252	DSP -- JCAD -- RhoC -- RhoA	0.305038	0.004312	JCAD	0.004790	0.000642	DSP -- JCAD -- RhoA	0.394861	0.004668
0.2000	1.4902	0.0042	2.1106	1.0000	RhoC	0.000108	0.000100	RhoA	0.000294	0.000164	<nil>	0.000187	0.000132	DSP -- RhoC -- RhoA	0.006648	0.000758	RhoC -- RhoA	0.000177	0.000114	DSP	0.001947	0.000419	JCAD -- RhoC	0.008876	0.000890	DSP -- RhoC	0.003364	0.000550	JCAD -- RhoA	0.018328	0.001257	DSP -- JCAD	0.070711	0.002397	JCAD -- RhoC -- RhoA	0.009612	0.000895	DSP -- RhoA	0.008977	0.000887	DSP -- JCAD -- RhoC	0.112681	0.002908	DSP -- JCAD -- RhoC -- RhoA	0.309159	0.004359	JCAD	0.006467	0.000768	DSP -- JCAD -- RhoA	0.442464	0.004781
0.3000	1.5451	0.0039	2.1136	1.0000	<nil>	0.000222	0.000143	RhoC	0.000264	0.000142	RhoA	0.000586	0.000212	RhoC -- RhoA	0.000524	0.000194	DSP	0.002387	0.000452	JCAD -- RhoC	0.011252	0.001013	JCAD -- RhoA	0.026210	0.001518	DSP -- RhoC	0.004148	0.000614	DSP -- JCAD	0.047701	0.001981	JCAD -- RhoC -- RhoA	0.013163	0.001055	DSP -- RhoA	0.013569	0.001088	DSP -- RhoC -- RhoA	0.009048	0.000892	DSP -- JCAD -- RhoC	0.090453	0.002635	DSP -- JCAD -- RhoC -- RhoA	0.300786	0.004345	JCAD	0.006738	0.000786	DSP -- JCAD -- RhoA	0.472949	0.004819
0.4000	1.5777	0.0036	2.1245	1.0000	<nil>	0.000200	0.000141	RhoC	0.000500	0.000212	RhoA	0.000980	0.000293	RhoC -- RhoA	0.000614	0.000213	DSP	0.002712	0.000494	JCAD -- RhoA	0.033546	0.001714	DSP -- RhoC	0.004677	0.000648	DSP -- JCAD	0.035530	0.001719	JCAD -- RhoC -- RhoA	0.016184	0.001182	DSP -- RhoA	0.018071	0.001273	JCAD -- RhoC	0.013054	0.001094	DSP -- RhoC -- RhoA	0.010562	0.000969	DSP -- JCAD -- RhoC	0.077461	0.002450	DSP -- JCAD -- RhoC -- RhoA	0.287128	0.004293	JCAD	0.006538	0.000768	DSP -- JCAD -- RhoA	0.492245	0.004837
0.5000	1.5977	0.0035	2.1487	1.0000	<nil>	0.000308	0.000161	RhoC	0.000643	0.000248	RhoA	0.001442	0.000351	RhoC -- RhoA	0.000557	0.000208	DSP	0.002469	0.000466	DSP -- JCAD	0.028377	0.001544	JCAD -- RhoC -- RhoA	0.019045	0.001280	DSP -- RhoA	0.023249	0.001459	JCAD -- RhoC	0.014320	0.001143	JCAD -- RhoA	0.039630	0.001867	DSP -- RhoC	0.005139	0.000670	DSP -- RhoC -- RhoA	0.011687	0.001002	DSP -- JCAD -- RhoC	0.070092	0.002315	DSP -- JCAD -- RhoC -- RhoA	0.273630	0.004224	JCAD	0.007099	0.000812	DSP -- JCAD -- RhoA	0.502312	0.004853
0.6000	1.6076	0.0034	2.1850	1.0000	<nil>	0.000381	0.000168	RhoC	0.000829	0.000271	DSP -- RhoC -- RhoA	0.013232	0.001089	RhoA	0.001919	0.000419	RhoC -- RhoA	0.000908	0.000288	DSP	0.002953	0.000508	JCAD -- RhoC	0.015570	0.001194	JCAD -- RhoA	0.044705	0.001983	DSP -- RhoC	0.005986	0.000744	DSP -- JCAD	0.025347	0.001442	JCAD -- RhoC -- RhoA	0.019240	0.001286	DSP -- RhoA	0.027196	0.001578	DSP -- JCAD -- RhoC	0.067062	0.002284	DSP -- JCAD -- RhoC -- RhoA	0.260106	0.004162	JCAD	0.007200	0.000807	DSP -- JCAD -- RhoA	0.507366	0.004846
0.7000	1.6171	0.0033	2.2186	1.0000	<nil>	0.000404	0.000200	RhoC	0.001054	0.000308	RhoC -- RhoA	0.001213	0.000334	DSP	0.003277	0.000538	RhoA	0.002285	0.000438	JCAD -- RhoC -- RhoA	0.019227	0.001302	DSP -- JCAD	0.022180	0.001334	JCAD -- RhoC	0.016732	0.001240	DSP -- RhoC -- RhoA	0.014339	0.001130	DSP -- JCAD -- RhoC	0.064505	0.002253	DSP -- RhoA	0.030762	0.001666	DSP -- RhoC	0.007027	0.000799	JCAD -- RhoA	0.051935	0.002134	DSP -- JCAD -- RhoC -- RhoA	0.244536	0.004089	JCAD	0.007750	0.000844	DSP -- JCAD -- RhoA	0.512775	0.004845
0.8000	1.6246	0.0033	2.2518	1.0000	<nil>	0.000503	0.000213	RhoC	0.001279	0.000350	RhoC -- RhoA	0.001228	0.000330	DSP	0.003236	0.000529	RhoA	0.003275	0.000545	DSP -- RhoC -- RhoA	0.015441	0.001177	JCAD -- RhoC	0.017028	0.001249	DSP -- JCAD	0.021464	0.001316	JCAD -- RhoC -- RhoA	0.021136	0.001358	DSP -- RhoA	0.034445	0.001771	DSP -- RhoC	0.007372	0.000817	JCAD -- RhoA	0.055940	0.002218	DSP -- JCAD -- RhoC	0.060359	0.002171	JCAD	0.008099	0.000859	DSP -- JCAD -- RhoC -- RhoA	0.236167	0.004030	DSP -- JCAD -- RhoA	0.513029	0.004848
0.9000	1.6302	0.0032	2.2893	1.0000	<nil>	0.000696	0.000263	RhoC	0.001576	0.000376	RhoA	0.003919	0.000582	DSP	0.003700	0.000579	RhoC -- RhoA	0.001396	0.000345	JCAD -- RhoC	0.016827	0.001242	DSP -- RhoC -- RhoA	0.017964	0.001280	DSP -- JCAD	0.021405	0.001314	JCAD -- RhoC -- RhoA	0.022434	0.001388	DSP -- RhoA	0.037479	0.001853	DSP -- JCAD -- RhoA	0.512712	0.004852	DSP -- JCAD -- RhoC	0.057505	0.002119	DSP -- RhoC	0.007073	0.000797	JCAD -- RhoA	0.059672	0.002283	JCAD	0.008910	0.000906	DSP -- JCAD -- RhoC -- RhoA	0.226734	0.003974
1.0000	1.6357	0.0032	2.3145	1.0000	<nil>	0.000690	0.000236	RhoC	0.002444	0.000477	RhoA	0.004728	0.000653	DSP	0.003999	0.000612	RhoC -- RhoA	0.001755	0.000383	JCAD -- RhoC	0.017880	0.001284	DSP -- RhoC -- RhoA	0.017129	0.001228	JCAD	0.009487	0.000942	JCAD -- RhoC -- RhoA	0.022748	0.001397	DSP -- JCAD	0.021842	0.001328	DSP -- JCAD -- RhoC	0.053529	0.002038	DSP -- RhoA	0.039210	0.001886	DSP -- JCAD -- RhoA	0.514076	0.004843	DSP -- RhoC	0.007429	0.000822	JCAD -- RhoA	0.063913	0.002349	DSP -- JCAD -- RhoC -- RhoA	0.219141	0.003924
1.1000	1.6392	0.0031	2.3361	1.0000	<nil>	0.000763	0.000267	DSP	0.004318	0.000614	RhoC -- RhoA	0.001830	0.000394	RhoC	0.002466	0.000480	RhoA	0.005397	0.000699	JCAD -- RhoC -- RhoA	0.021369	0.001367	DSP -- JCAD	0.020972	0.001302	DSP -- RhoC -- RhoA	0.016827	0.001225	JCAD -- RhoA	0.068824	0.002453	DSP -- RhoC	0.008750	0.000895	JCAD -- RhoC	0.018318	0.001292	DSP -- JCAD -- RhoC	0.052129	0.002030	DSP -- RhoA	0.042356	0.001953	DSP -- JCAD -- RhoA	0.513767	0.004856	JCAD	0.009974	0.000962	DSP -- JCAD -- RhoC -- RhoA	0.211939	0.003889
1.2000	1.6428	0.0031	2.3540	1.0000	<nil>	0.000975	0.000309	RhoC	0.002628	0.000491	DSP	0.004509	0.000650	RhoC -- RhoA	0.001974	0.000418	RhoA	0.005244	0.000693	JCAD	0.009996	0.000960	JCAD -- RhoC -- RhoA	0.022289	0.001400	DSP -- JCAD	0.020032	0.001256	DSP -- RhoC -- RhoA	0.017943	0.001264	JCAD -- RhoA	0.072199	0.002510	DSP -- RhoC	0.009356	0.000917	DSP -- JCAD -- RhoC -- RhoA	0.205608	0.003847	DSP -- JCAD -- RhoC	0.050813	0.001994	JCAD -- RhoC	0.018490	0.001303	DSP -- RhoA	0.044158	0.002008	DSP -- JCAD -- RhoA	0.513786	0.004861
1.3000	1.6462	0.0030	2.3800	1.0000	<nil>	0.000964	0.000290	RhoA	0.005661	0.000728	RhoC	0.002887	0.000517	DSP	0.004765	0.000661	RhoC -- RhoA	0.001901	0.000413	JCAD	0.010648	0.001005	DSP -- RhoC -- RhoA	0.016748	0.001226	JCAD -- RhoC -- RhoA	0.024471	0.001459	DSP -- JCAD	0.019915	0.001271	JCAD -- RhoA	0.072949	0.002527	DSP -- RhoC	0.010151	0.000963	DSP -- JCAD -- RhoC -- RhoA	0.204374	0.003831	DSP -- JCAD -- RhoC	0.047828	0.001930	JCAD -- RhoC	0.019826	0.001350	DSP -- RhoA	0.047605	0.002076	DSP -- JCAD -- RhoA	0.509305	0.004851
1.4000	1.6477	0.0030	2.3914	1.0000	<nil>	0.001040	0.000313	RhoA	0.006574	0.000772	DSP	0.004499	0.000639	RhoC -- RhoA	0.001621	0.000359	RhoC	0.002932	0.000509	JCAD	0.011711	0.001040	DSP -- RhoC -- RhoA	0.017027	0.001222	JCAD -- RhoC -- RhoA	0.023576	0.001427	DSP -- JCAD	0.019692	0.001264	JCAD -- RhoA	0.073163	0.002514	DSP -- RhoC	0.009936	0.000942	DSP -- JCAD -- RhoC	0.047644	0.001923	DSP -- JCAD -- RhoC -- RhoA	0.200181	0.003798	JCAD -- RhoC	0.021195	0.001393	DSP -- RhoA	0.049631	0.002114	DSP -- JCAD -- RhoA	0.509579	0.004852
1.5000	1.6490	0.0030	2.4055	1.0000	<nil>	0.001011	0.000304	RhoC -- RhoA	0.001749	0.000393	DSP	0.004439	0.000629	RhoA	0.007232	0.000819	RhoC	0.002806	0.000514	JCAD	0.012694	0.001082	DSP -- RhoC -- RhoA	0.018206	0.001266	JCAD -- RhoC -- RhoA	0.022037	0.001385	DSP -- JCAD	0.020365	0.001284	DSP -- JCAD -- RhoC	0.045888	0.001891	JCAD -- RhoA	0.075160	0.002558	DSP -- RhoC	0.010065	0.000953	DSP -- RhoA	0.050137	0.002131	DSP -- JCAD -- RhoC -- RhoA	0.197883	0.003797	DSP -- JCAD -- RhoA	0.508131	0.004867	JCAD -- RhoC	0.022197	0.001423
1.6000	1.6493	0.0030	2.4192	1.0000	<nil>	0.001024	0.000312	RhoC -- RhoA	0.002253	0.000453	DSP	0.004335	0.000606	RhoC	0.002617	0.000492	RhoA	0.007267	0.000829	JCAD	0.012731	0.001086	DSP -- RhoC -- RhoA	0.017247	0.001243	JCAD -- RhoC -- RhoA	0.022193	0.001380	DSP -- JCAD	0.020992	0.001287	DSP -- JCAD -- RhoC	0.045443	0.001891	JCAD -- RhoA	0.076338	0.002573	DSP -- RhoC	0.011533	0.001026	DSP -- JCAD -- RhoC -- RhoA	0.194626	0.003765	DSP -- RhoA	0.052022	0.002165	DSP -- JCAD -- RhoA	0.507026	0.004855	JCAD -- RhoC	0.022353	0.001442
1.7000	1.6548	0.0029	2.4290	1.0000	<nil>	0.001221	0.000341	RhoC	0.002729	0.000507	RhoA	0.007423	0.000812	JCAD	0.013454	0.001109	DSP -- RhoC -- RhoA	0.016510	0.001198	JCAD -- RhoC -- RhoA	0.023326	0.001428	DSP -- JCAD	0.019644	0.001260	DSP -- RhoC	0.012011	0.001044	JCAD -- RhoA	0.076979	0.002590	DSP -- JCAD -- RhoC	0.042554	0.001826	DSP -- JCAD -- RhoC -- RhoA	0.193045	0.003769	DSP -- RhoA	0.053286	0.002190	DSP -- JCAD -- RhoA	0.507344	0.004870	RhoC -- RhoA	0.003389	0.000541	DSP	0.004678	0.000653	JCAD -- RhoC	0.022409	0.001433
1.8000	1.6557	0.0029	2.4485	1.0000	RhoC	0.002848	0.000507	<nil>	0.001252	0.000335	RhoA	0.007851	0.000839	JCAD	0.013417	0.001110	DSP -- RhoC -- RhoA	0.017618	0.001240	DSP -- RhoC	0.012936	0.001089	JCAD -- RhoA	0.078475	0.002601	DSP -- JCAD -- RhoC	0.041638	0.001803	DSP -- JCAD -- RhoC -- RhoA	0.190293	0.003737	DSP -- RhoA	0.054526	0.002210	DSP -- JCAD	0.019729	0.001244	JCAD -- RhoC -- RhoA	0.022986	0.001416	DSP -- JCAD -- RhoA	0.504927	0.004852	RhoC -- RhoA	0.003202	0.000522	DSP	0.005476	0.000707	JCAD -- RhoC	0.022825	0.001445
