JCAD,RhoA,RhoC,TJP1,p1_name,p1_value,p2_name,p2_value,perturbation,exp_name,type,delta,phenotype
0.501401,0.31674,0.7960799999999999,0.496201,$RhoC_antagonistic,1.0,N/A,,DSP,DSP_Sweep,1D,0.4793399999999999,Hyper
0.499398,0.35456199999999993,0.737044,0.511199,$RhoC_antagonistic,2.0,N/A,,DSP,DSP_Sweep,1D,0.3824820000000001,Hyper
0.48620099999999994,0.389908,0.6826540000000001,0.49940100000000004,$RhoC_antagonistic,3.0,N/A,,DSP,DSP_Sweep,1D,0.2927460000000001,Hyper
0.5046,0.42520399999999997,0.637904,0.5022,$RhoC_antagonistic,4.0,N/A,,DSP,DSP_Sweep,1D,0.21270000000000006,Normal
0.5032,0.460637,0.5975619999999999,0.488,$RhoC_antagonistic,5.0,N/A,,DSP,DSP_Sweep,1D,0.1369249999999999,Normal
0.4952000000000001,0.487772,0.566654,0.4994,$RhoC_antagonistic,6.0,N/A,,DSP,DSP_Sweep,1D,0.07888200000000001,Normal
0.501601,0.484556,0.5525659999999999,0.494601,$RhoC_antagonistic,7.0,N/A,,DSP,DSP_Sweep,1D,0.0680099999999999,Normal
0.509199,0.49935499999999994,0.536493,0.497,$RhoC_antagonistic,8.0,N/A,,DSP,DSP_Sweep,1D,0.03713800000000006,Normal
0.49879999999999997,0.5239149999999999,0.511219,0.5008,$RhoC_antagonistic,9.0,N/A,,DSP,DSP_Sweep,1D,-0.01269599999999993,Normal
0.503402,0.5320819999999999,0.5029600000000001,0.494601,$RhoC_antagonistic,10.0,N/A,,DSP,DSP_Sweep,1D,-0.02912199999999987,Normal
0.501801,0.53746,0.486655,0.5014000000000001,$RhoC_antagonistic,11.0,N/A,,DSP,DSP_Sweep,1D,-0.050805000000000045,Normal
0.501402,0.547687,0.472875,0.505201,$RhoC_antagonistic,12.0,N/A,,DSP,DSP_Sweep,1D,-0.07481200000000005,Normal
0.4936,0.558889,0.45255799999999996,0.49799999999999994,$RhoC_antagonistic,13.0,N/A,,DSP,DSP_Sweep,1D,-0.10633100000000001,Normal
0.5004,0.570905,0.445628,0.5006,$RhoC_antagonistic,14.0,N/A,,DSP,DSP_Sweep,1D,-0.12527699999999997,Normal
0.492401,0.577319,0.43692900000000007,0.49100000000000005,$RhoC_antagonistic,15.0,N/A,,DSP,DSP_Sweep,1D,-0.14038999999999996,Normal
0.5114019999999999,0.439115,0.608899,0.488401,$RhoC_mod,1.0,N/A,,DSP,DSP_Sweep,1D,0.169784,Normal
0.506201,0.413106,0.6665899999999999,0.4908,$RhoC_mod,2.0,N/A,,DSP,DSP_Sweep,1D,0.25348399999999993,Hyper
0.5036,0.40409000000000006,0.671527,0.49959999999999993,$RhoC_mod,3.0,N/A,,DSP,DSP_Sweep,1D,0.2674369999999999,Hyper
0.499,0.402159,0.685848,0.5043989999999999,$RhoC_mod,4.0,N/A,,DSP,DSP_Sweep,1D,0.283689,Hyper
0.5026,0.379353,0.705652,0.49820000000000003,$RhoC_mod,5.0,N/A,,DSP,DSP_Sweep,1D,0.32629899999999995,Hyper
0.5020009999999999,0.385883,0.699394,0.495801,$RhoC_mod,6.0,N/A,,DSP,DSP_Sweep,1D,0.313511,Hyper
0.4972,0.37920499999999996,0.7076629999999999,0.4948,$RhoC_mod,7.0,N/A,,DSP,DSP_Sweep,1D,0.32845799999999997,Hyper
0.4902,0.419778,0.6614030000000001,0.5052,$RhoC_amp,5.0,N/A,,DSP,DSP_Sweep,1D,0.2416250000000001,Normal
0.5038,0.401493,0.67094,0.4958,$RhoC_amp,7.5,N/A,,DSP,DSP_Sweep,1D,0.269447,Hyper
0.49060099999999995,0.397209,0.6795720000000001,0.5057999999999999,$RhoC_amp,10.0,N/A,,DSP,DSP_Sweep,1D,0.2823630000000001,Hyper
0.490602,0.397224,0.687732,0.498201,$RhoC_amp,12.5,N/A,,DSP,DSP_Sweep,1D,0.290508,Hyper
0.4984,0.38776299999999997,0.6893049999999998,0.4874,$RhoC_amp,15.0,N/A,,DSP,DSP_Sweep,1D,0.30154199999999987,Hyper
0.48179799999999995,0.3986,0.6917519999999999,0.497398,$RhoC_amp,17.5,N/A,,DSP,DSP_Sweep,1D,0.2931519999999999,Hyper
0.499,0.387254,0.6909069999999999,0.49659999999999993,$RhoC_amp,20.0,N/A,,DSP,DSP_Sweep,1D,0.30365299999999995,Hyper
0.5014,0.39527199999999996,0.688735,0.508,$RhoC_amp,22.5,N/A,,DSP,DSP_Sweep,1D,0.29346300000000003,Hyper
0.497599,0.38349900000000003,0.690669,0.5045999999999999,$RhoC_amp,25.0,N/A,,DSP,DSP_Sweep,1D,0.30716999999999994,Hyper
0.499201,0.393642,0.69413,0.494399,$RhoC_amp,27.5,N/A,,DSP,DSP_Sweep,1D,0.30048800000000003,Hyper
0.4978,0.39359,0.697489,0.502399,$RhoC_amp,30.0,N/A,,DSP,DSP_Sweep,1D,0.30389900000000003,Hyper
0.5004,0.385236,0.697514,0.4958,$RhoC_amp,32.5,N/A,,DSP,DSP_Sweep,1D,0.31227799999999994,Hyper
0.495798,0.38473399999999996,0.693041,0.4982,$RhoC_amp,35.0,N/A,,DSP,DSP_Sweep,1D,0.30830700000000005,Hyper
0.5046,0.389836,0.6914340000000001,0.5034000000000001,$RhoC_amp,37.5,N/A,,DSP,DSP_Sweep,1D,0.3015980000000001,Hyper
0.493,0.390555,0.718267,0.4968,$RhoC_decay,0.05,N/A,,DSP,DSP_Sweep,1D,0.327712,Hyper
0.5072,0.39431499999999997,0.698238,0.502,$RhoC_decay,0.15000000000000002,N/A,,DSP,DSP_Sweep,1D,0.30392300000000005,Hyper
0.504201,0.38879700000000006,0.676653,0.49980099999999994,$RhoC_decay,0.25000000000000006,N/A,,DSP,DSP_Sweep,1D,0.2878559999999999,Hyper
0.498,0.40963499999999997,0.6445270000000001,0.49080099999999993,$RhoC_decay,0.3500000000000001,N/A,,DSP,DSP_Sweep,1D,0.2348920000000001,Normal
0.5125989999999999,0.40661400000000003,0.624385,0.49239900000000003,$RhoC_decay,0.45000000000000007,N/A,,DSP,DSP_Sweep,1D,0.21777099999999994,Normal
0.49360099999999996,0.40682299999999993,0.613058,0.497201,$RhoC_decay,0.55,N/A,,DSP,DSP_Sweep,1D,0.20623500000000006,Normal
0.5058,0.408173,0.6045790000000001,0.5088,$RhoC_decay,0.6500000000000001,N/A,,DSP,DSP_Sweep,1D,0.19640600000000008,Normal
0.505601,0.400041,0.578632,0.49319999999999997,$RhoC_decay,0.7500000000000001,N/A,,DSP,DSP_Sweep,1D,0.17859100000000006,Normal
0.503,0.40913199999999994,0.573468,0.4996,$RhoC_decay,0.8500000000000002,N/A,,DSP,DSP_Sweep,1D,0.16433600000000004,Normal
0.4909999999999999,0.41802100000000003,0.569862,0.49299999999999994,$RhoC_decay,0.9500000000000002,N/A,,DSP,DSP_Sweep,1D,0.15184099999999995,Normal
